id,parent_fen,move_san,name,type,branches,priority,tier,frequency
33887,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,g6,반트 크라위스 오프닝,excellent,[],3,1,22.45
33888,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,e5,반트 크라위스 오프닝,excellent,[],4,1,14.13
33889,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,c5,반트 크라위스 오프닝,excellent,[],5,1,5.46
33890,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,f5,반트 크라위스 오프닝,okay,[],6,1,2.14
33891,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,b6,반트 크라위스 오프닝,excellent,[],7,1,2.02
33892,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,d6,반트 크라위스 오프닝,excellent,[],8,1,1.54
33893,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,e6,반트 크라위스 오프닝,best,[],9,1,1.31
33894,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,c6,반트 크라위스 오프닝,excellent,[],10,1,0.12
33895,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,a6,반트 크라위스 오프닝,excellent,[],11,1,0.12
33896,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,a5,반트 크라위스 오프닝,okay,[],12,1,0.12
33897,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,Nc6,반트 크라위스 오프닝,okay,[],13,2,0.98
33898,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,c4,반트 크라위스 오프닝,excellent,[],1,1,39.5
33899,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,d4,반트 크라위스 오프닝,best,[],2,1,23.53
33900,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,b3,반트 크라위스 오프닝,inaccuracy,[],3,1,15.13
33901,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Be2,반트 크라위스 오프닝,okay,[],4,1,10.92
33902,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,e4,반트 크라위스 오프닝,inaccuracy,[],5,1,4.2
33903,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,d3,반트 크라위스 오프닝,inaccuracy,[],6,1,3.36
33904,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Nf3,반트 크라위스 오프닝,inaccuracy,[],7,1,2.52
33905,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Ke2,반트 크라위스 오프닝,blunder,[],8,1,0.84
33906,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Nc3,반트 크라위스 오프닝,okay,[],9,2,4.14
33907,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Ne2,반트 크라위스 오프닝,inaccuracy,[],10,2,3.93
33908,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,g3,반트 크라위스 오프닝,mistake,[],11,2,1.99
33909,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,f4,반트 크라위스 오프닝,mistake,[],12,2,1.63
33910,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,c3,반트 크라위스 오프닝,inaccuracy,[],13,3,4.47
33911,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Bc4,반트 크라위스 오프닝,mistake,[],14,3,1.93
33912,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Qh5,반트 크라위스 오프닝,mistake,[],15,4,5.11
33913,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,a3,반트 크라위스 오프닝,okay,[],16,4,3.25
33914,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,Qf3,반트 크라위스 오프닝,mistake,[],17,4,3.24
33915,rnbqkbnr/pppp1ppp/8/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq -,Nf6,반트 크라위스 오프닝,best,[],1,1,72.14
33916,rnbqkbnr/pppp1ppp/8/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq -,Nc6,반트 크라위스 오프닝,best,[],2,1,11.07
33917,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Nc3,반트 크라위스 오프닝,best,[],1,1,75.93
33918,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,d4,반트 크라위스 오프닝,best,[],2,1,16.67
33919,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,b3,반트 크라위스 오프닝,okay,[],3,1,1.85
33920,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Qc2,반트 크라위스 오프닝,inaccuracy,[],4,1,1.85
33921,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,g3,반트 크라위스 오프닝,okay,[],5,1,1.85
33922,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,a3,반트 크라위스 오프닝,okay,[],6,1,1.85
33923,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Nf3,반트 크라위스 오프닝,okay,[],7,3,5.13
33924,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Ne2,반트 크라위스 오프닝,excellent,[],8,3,3.73
33925,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,h3,반트 크라위스 오프닝,okay,[],9,3,2.31
33926,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,d3,반트 크라위스 오프닝,okay,[],10,3,2.03
33927,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Be2,반트 크라위스 오프닝,okay,[],11,3,1.95
33928,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,b4,반트 크라위스 오프닝,inaccuracy,[],12,3,0.51
33929,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Qb3,반트 크라위스 오프닝,inaccuracy,[],13,4,1.07
33930,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,g4,반트 크라위스 오프닝,blunder,[],14,5,1.64
33931,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Qa4+,반트 크라위스 오프닝,inaccuracy,[],15,6,2.59
33932,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,f4,반트 크라위스 오프닝,mistake,[],16,6,1.93
33933,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,Bd3,반트 크라위스 오프닝,okay,[],17,6,1.8
33934,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,g6,반트 크라위스 오프닝,best,[],1,1,46.22
33935,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,f5,반트 크라위스 오프닝,best,[],2,1,24.37
33936,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Nf6,반트 크라위스 오프닝,excellent,[],3,1,15.13
33937,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,c6,반트 크라위스 오프닝,excellent,[],4,1,4.2
33938,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Be7,반트 크라위스 오프닝,excellent,[],5,1,4.2
33939,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Nd7,반트 크라위스 오프닝,excellent,[],6,1,3.36
33940,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Nc6,반트 크라위스 오프닝,excellent,[],7,1,1.68
33941,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Be6,반트 크라위스 오프닝,mistake,[],8,1,0.84
33942,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,c5,반트 크라위스 오프닝,inaccuracy,[],9,3,4.15
33943,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Bf5,반트 크라위스 오프닝,inaccuracy,[],10,3,1.87
33944,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,h6,반트 크라위스 오프닝,okay,[],11,3,1.22
33945,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,a6,반트 크라위스 오프닝,inaccuracy,[],12,3,0.84
33946,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,Bd7,반트 크라위스 오프닝,okay,[],13,4,1.02
33947,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,f6,반트 크라위스 오프닝,mistake,[],14,5,1.95
33948,rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,b6,반트 크라위스 오프닝,inaccuracy,[],15,6,1.35
33949,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,d4,반트 크라위스 오프닝,best,[],1,1,62.16
33950,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,g3,반트 크라위스 오프닝,okay,[],2,1,16.22
33951,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Nf3,반트 크라위스 오프닝,excellent,[],3,1,13.51
33952,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Nge2,반트 크라위스 오프닝,okay,[],4,1,5.41
33953,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,a3,반트 크라위스 오프닝,okay,[],5,1,2.7
33954,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Qc2,반트 크라위스 오프닝,okay,[],6,2,2.31
33955,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,b3,반트 크라위스 오프닝,inaccuracy,[],7,2,2.21
33956,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,h3,반트 크라위스 오프닝,okay,[],8,2,1.46
33957,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,d3,반트 크라위스 오프닝,inaccuracy,[],9,2,1.16
33958,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Be2,반트 크라위스 오프닝,okay,[],10,2,0.71
33959,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,g4,반트 크라위스 오프닝,mistake,[],11,2,0.37
33960,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Rb1,반트 크라위스 오프닝,inaccuracy,[],12,2,0.31
33961,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Bd3,반트 크라위스 오프닝,inaccuracy,[],13,3,1.48
33962,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,Nd5,반트 크라위스 오프닝,inaccuracy,[],14,3,0.27
33963,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,f4,반트 크라위스 오프닝,mistake,[],15,6,1.9
33964,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,g6,반트 크라위스 오프닝,best,[],1,2,28.21
33965,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,f5,반트 크라위스 오프닝,inaccuracy,[],2,2,24.36
33966,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Nf6,암스테르담 어택,book,[],3,2,23.08
33967,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Be6,반트 크라위스 오프닝,excellent,[],4,2,8.97
33968,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Be7,반트 크라위스 오프닝,okay,[],5,2,6.41
33969,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Bf5,반트 크라위스 오프닝,best,[],6,2,5.13
33970,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Nge7,반트 크라위스 오프닝,okay,[],7,2,2.56
33971,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,f6,반트 크라위스 오프닝,mistake,[],8,2,1.28
33972,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Bd7,반트 크라위스 오프닝,okay,[],9,3,3.47
33973,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,a6,반트 크라위스 오프닝,okay,[],10,3,2.34
33974,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,h6,반트 크라위스 오프닝,okay,[],11,3,0.89
33975,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,b6,반트 크라위스 오프닝,inaccuracy,[],12,3,0.89
33976,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,h5,반트 크라위스 오프닝,okay,[],13,3,0.4
33977,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,Nb4,반트 크라위스 오프닝,inaccuracy,[],14,4,0.88
33978,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,d5,그로브 오프닝,critical,[],1,1,66.85
33979,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,e5,그로브 오프닝,critical,[],2,1,18.54
33980,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,d6,그로브 오프닝,incorrect,[],3,1,3.93
33981,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,g6,그로브 오프닝,incorrect,[],4,1,2.81
33982,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,h5,그로브 오프닝,incorrect,[],5,1,2.25
33983,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,c5,그로브 오프닝,incorrect,[],6,1,2.25
33984,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,c6,그로브 오프닝,incorrect,[],7,1,1.12
33985,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,e6,그로브 오프닝,incorrect,[],8,1,0.56
33986,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,g5,그로브 오프닝: 더블 그로브,book,[],9,1,0.56
33987,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,Na6,그로브 오프닝,incorrect,[],10,1,0.56
33988,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,Nc6,그로브 오프닝,critical,[],11,1,0.56
33989,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,Nf6,그로브 오프닝,incorrect,[],12,2,1.42
33990,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,b6,그로브 오프닝,incorrect,[],13,2,0.89
33991,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,b5,그로브 오프닝,incorrect,[],14,6,1.08
33992,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,h4,그로브 오프닝: 더블 그로브,excellent,[],1,1,100.0
33993,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Bg2,그로브 오프닝: 더블 그로브,excellent,[],2,3,71.73
33994,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,d4,그로브 오프닝: 더블 그로브,best,[],3,3,9.39
33995,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,d3,그로브 오프닝: 더블 그로브,okay,[],4,3,1.9
33996,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,h3,그로브 오프닝: 더블 그로브,excellent,[],5,3,1.75
33997,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Nf3,그로브 오프닝: 더블 그로브,incorrect,[],6,3,1.15
33998,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,c4,그로브 오프닝: 더블 그로브,best,[],7,3,0.85
33999,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,e3,그로브 오프닝: 더블 그로브,inaccuracy,[],8,3,0.67
34000,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,f4,"그로브 오프닝: 더블 그로브, 코카콜라 갬빗",book,[],9,3,0.56
34001,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,e4,그로브 오프닝: 더블 그로브,inaccuracy,[],10,3,0.55
34002,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Nc3,그로브 오프닝: 더블 그로브,okay,[],11,3,0.46
34003,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,f3,그로브 오프닝: 더블 그로브,incorrect,[],12,3,0.4
34004,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,b4,그로브 오프닝: 더블 그로브,incorrect,[],13,4,1.25
34005,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Nh3,그로브 오프닝: 더블 그로브,incorrect,[],14,4,1.19
34006,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Bh3,그로브 오프닝: 더블 그로브,incorrect,[],15,5,2.12
34007,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Bg2,그로브 오프닝: 그로브 갬빗,book,[],1,1,56.3
34008,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,h3,그로브 오프닝,inaccuracy,[],2,1,40.34
34009,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,e3,그로브 오프닝,excellent,[],3,1,2.52
34010,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,g5,그로브 오프닝,okay,[],4,1,0.84
34011,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,c4,그로브 오프닝,excellent,[],5,3,0.91
34012,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,f3,그로브 오프닝,mistake,[],6,3,0.27
34013,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,e4,그로브 오프닝,inaccuracy,[],7,3,0.23
34014,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,f4,그로브 오프닝,mistake,[],8,3,0.21
34015,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,d4,그로브 오프닝,mistake,[],9,3,0.2
34016,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,b4,그로브 오프닝,mistake,[],10,3,0.14
34017,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,h4,그로브 오프닝,mistake,[],11,3,0.13
34018,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,Nf3,그로브 오프닝,mistake,[],12,3,0.13
34020,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,c3,그로브 오프닝,mistake,[],14,5,1.02
34021,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,c6,그로브 오프닝: 그로브 갬빗 거절,book,[],1,1,65.67
34022,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,Bxg4,그로브 오프닝: 그로브 갬빗,critical,[],2,1,14.93
34023,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,e5,그로브 오프닝: 그로브 갬빗,blunder,[],3,1,5.97
34024,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,e6,그로브 오프닝: 그로브 갬빗,blunder,[],4,1,4.48
34025,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,c5,그로브 오프닝: 그로브 갬빗,blunder,[],5,1,4.48
34026,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,Nc6,그로브 오프닝: 그로브 갬빗,critical,[],6,1,2.99
34027,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,g6,그로브 오프닝: 그로브 갬빗,blunder,[],7,1,1.49
34028,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,Nf6,그로브 오프닝: 그로브 갬빗,blunder,[],8,3,1.85
34029,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,h5,그로브 오프닝: 그로브 갬빗,blunder,[],9,3,0.54
