fen,san,name_ko,name_en,eval
rnbqkbnr/pppp1ppp/8/4p3/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,1. g4 e5,그로브 오프닝,Grob Opening,0.8
rnbqkbnr/pppp1ppp/8/4p3/6P1/7P/PPPPPP2/RNBQKBNR b KQkq -,1. g4 e5 2. h3,그로브 오프닝,Grob Opening,-1.5
r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -,1. g4 e5 2. h3 Nc6,그로브 오프닝: 런던 디펜스,Grob Opening: London Defense,1.2
rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 c6 3. g5,그로브 오프닝: 스파이크 어택,Grob Opening: Spike Attack,-1.1
rnbqkbnr/pppp1ppp/8/4p3/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 e5 2. Bg2,그로브 오프닝,Grob Opening,-0.8
rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -,1. g4 e5 2. Bg2 d5 3. c4,"그로브 오프닝: 스파이크, 허스트 어택","Grob Opening: Spike, Hurst Attack",-1.4
rnbqkbnr/ppp1pppp/8/3p4/4P1P1/8/PPPP1P1P/RNBQKBNR b KQkq -,1. g4 d5 2. e4,그로브 오프닝,Grob Opening,-1.4
rnbqkbnr/ppp1pppp/8/8/4p1P1/8/PPPP1P1P/RNBQKBNR w KQkq -,1. g4 d5 2. e4 dxe4,그로브 오프닝,Grob Opening,1.4
rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3,그로브 오프닝: 질버민트 갬빗,Grob Opening: Zilbermints Gambit,-1.6
rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3 h5,"그로브 오프닝: 질버민트 갬빗, 실러 디펜스","Grob Opening: Zilbermints Gambit, Schiller Defense",1.2
rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3 e5,그로브 오프닝: 질버민트 갬빗,Grob Opening: Zilbermints Gambit,1.6
rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3,"그로브 오프닝: 질버민트 갬빗, 질버민트-하르트라우프 갬빗","Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",-1.7
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -,1. g3,헝가리안 오프닝,Hungarian Opening,0.1
r1bqkbnr/pppppppp/2n5/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 Nc6,헝가리안 오프닝,Hungarian Opening,-0.4
r1bqkbnr/pppppppp/2n5/8/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq -,1. g3 Nc6 2. Nc3,헝가리안 오프닝,Hungarian Opening,0.0
r1bqkbnr/ppp1pppp/2n5/3p4/8/2N3P1/PPPPPP1P/R1BQKBNR w KQkq -,1. g3 Nc6 2. Nc3 d5,헝가리안 오프닝,Hungarian Opening,0.1
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/2N3P1/PPP1PP1P/R1BQKBNR b KQkq -,1. g3 Nc6 2. Nc3 d5 3. d4,헝가리안 오프닝,Hungarian Opening,0.0
r1bqkbnr/ppp2ppp/2n5/3pp3/3P4/2N3P1/PPP1PP1P/R1BQKBNR w KQkq -,1. g3 Nc6 2. Nc3 d5 3. d4 e5,헝가리안 오프닝,Hungarian Opening,0.0
r1bqkbnr/ppp2ppp/2n5/3pP3/8/2N3P1/PPP1PP1P/R1BQKBNR b KQkq -,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5,헝가리안 오프닝,Hungarian Opening,0.0
r1bqkbnr/ppp2ppp/2n5/4P3/3p4/2N3P1/PPP1PP1P/R1BQKBNR w KQkq -,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4,헝가리안 오프닝,Hungarian Opening,0.0
r1bqkbnr/ppp2ppp/2n5/4P3/3pN3/6P1/PPP1PP1P/R1BQKBNR b KQkq -,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4,헝가리안 오프닝,Hungarian Opening,0.2
r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5,헝가리안 오프닝: 아스텐 갬빗,Hungarian Opening: Asten Gambit,-1.2
rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 e5,헝가리안 오프닝,Hungarian Opening,-0.2
rnbqkbnr/pppp1ppp/8/4p3/8/P5P1/1PPPPP1P/RNBQKBNR b KQkq -,1. g3 e5 2. a3,헝가리안 오프닝,Hungarian Opening,-0.3
rnbqkbnr/ppp2ppp/8/3pp3/8/P5P1/1PPPPP1P/RNBQKBNR w KQkq -,1. g3 e5 2. a3 d5,헝가리안 오프닝,Hungarian Opening,0.4
rnbqkbnr/ppp2ppp/8/3pp3/8/P4NP1/1PPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. a3 d5 3. Nf3,헝가리안 오프닝,Hungarian Opening,-0.9
rnbqkbnr/ppp2ppp/8/3p4/4p3/P4NP1/1PPPPP1P/RNBQKB1R w KQkq -,1. g3 e5 2. a3 d5 3. Nf3 e4,헝가리안 오프닝,Hungarian Opening,0.8
rnbqkbnr/ppp2ppp/8/3p4/4p2N/P5P1/1PPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4,헝가리안 오프닝,Hungarian Opening,-0.9
rnbqk1nr/ppp1bppp/8/3p4/4p2N/P5P1/1PPPPP1P/RNBQKB1R w KQkq -,1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7,헝가리안 오프닝,Hungarian Opening,0.7
rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -,1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3,헝가리안 오프닝: 버크 갬빗,Hungarian Opening: Burk Gambit,-0.7
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 d5,헝가리안 오프닝,Hungarian Opening,-0.1
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq -,1. g3 d5 2. Bg2,헝가리안 오프닝,Hungarian Opening,-0.2
rnbqkbnr/ppp2ppp/8/3pp3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 e5,헝가리안 오프닝,Hungarian Opening,0.1
rnbqkbnr/ppp2ppp/8/3pp3/1P6/6P1/P1PPPPBP/RNBQK1NR b KQkq -,1. g3 d5 2. Bg2 e5 3. b4,헝가리안 오프닝: 버커 갬빗,Hungarian Opening: Bücker Gambit,-1.1
rnbqkbnr/ppp2ppp/4p3/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 e6,헝가리안 오프닝: 카탈란 포메이션,Hungarian Opening: Catalan Formation,-0.3
rnbqkbnr/ppppp1pp/8/5p2/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 f5,헝가리안 오프닝: 더치 디펜스,Hungarian Opening: Dutch Defense,-0.5
rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 Nf6,헝가리안 오프닝: 인디언 디펜스,Hungarian Opening: Indian Defense,-0.2
rnbqkbnr/pppppp1p/8/6p1/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 g5,헝가리안 오프닝: 마이어스 디펜스,Hungarian Opening: Myers Defense,-1.2
rnbqkbnr/ppppp1pp/8/5p2/4P3/6P1/PPPP1P1P/RNBQKBNR b KQkq -,1. g3 f5 2. e4,헝가리안 오프닝: 더치 디펜스,Hungarian Opening: Dutch Defense,-0.4
rnbqkbnr/ppppp1pp/8/8/4p3/6P1/PPPP1P1P/RNBQKBNR w KQkq -,1. g3 f5 2. e4 fxe4,헝가리안 오프닝: 더치 디펜스,Hungarian Opening: Dutch Defense,0.5
rnbqkbnr/ppppp1pp/8/7Q/4p3/6P1/PPPP1P1P/RNB1KBNR b KQkq -,1. g3 f5 2. e4 fxe4 3. Qh5+,헝가리안 오프닝: 더치 디펜스,Hungarian Opening: Dutch Defense,-1.5
rnbqkbnr/ppppp2p/6p1/7Q/4p3/6P1/PPPP1P1P/RNB1KBNR w KQkq -,1. g3 f5 2. e4 fxe4 3. Qh5+ g6,헝가리안 오프닝: 파흐만 갬빗,Hungarian Opening: Pachman Gambit,1.7
rnbqkbnr/pppp1ppp/8/4p3/8/6PN/PPPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. Nh3,헝가리안 오프닝,Hungarian Opening,-0.7
rnbqkbnr/ppp2ppp/8/3pp3/8/6PN/PPPPPP1P/RNBQKB1R w KQkq -,1. g3 e5 2. Nh3 d5,헝가리안 오프닝,Hungarian Opening,0.6
rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -,1. g3 e5 2. Nh3 d5 3. f4,헝가리안 오프닝,Hungarian Opening,-1.0
rn1qkbnr/ppp2ppp/8/3pp3/5P2/6Pb/PPPPP2P/RNBQKB1R w KQkq -,1. g3 e5 2. Nh3 d5 3. f4 Bxh3,헝가리안 오프닝,Hungarian Opening,0.7
rn1qkbnr/ppp2ppp/8/3pp3/5P2/6PB/PPPPP2P/RNBQK2R b KQkq -,1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3,헝가리안 오프닝,Hungarian Opening,-0.7
rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq -,1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4,헝가리안 오프닝,Hungarian Opening,0.6
rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQ1RK1 b kq -,1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O,헝가리안 오프닝: 파리 갬빗,Hungarian Opening: Paris Gambit,-1.3
rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. Nf3,헝가리안 오프닝: 리버스드 알레킨,Hungarian Opening: Reversed Alekhine,-0.1
rnbqkbnr/pppp1ppp/8/8/4p3/5NP1/PPPPPP1P/RNBQKB1R w KQkq -,1. g3 e5 2. Nf3 e4,헝가리안 오프닝: 리버스드 알레킨,Hungarian Opening: Reversed Alekhine,0.3
rnbqkbnr/pppp1ppp/8/8/4p3/6P1/PPPPPP1P/RNBQKBNR b KQkq -,1. g3 e5 2. Nf3 e4 3. Ng1,헝가리안 오프닝: 리버스드 알레킨,Hungarian Opening: Reversed Alekhine,-0.5
rnbqkb1r/pppp1ppp/5n2/8/4p3/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 e5 2. Nf3 e4 3. Ng1 Nf6,헝가리안 오프닝: 리버스드 알레킨,Hungarian Opening: Reversed Alekhine,0.4
rnbqkb1r/pppp1ppp/5n2/8/1P2p3/6P1/P1PPPP1P/RNBQKBNR b KQkq -,1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4,"헝가리안 오프닝: 리버스드 브루클린 디펜스, 브루클린 벤코 갬빗","Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit",-2.3
rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 c5,헝가리안 오프닝: 리버스드 모던 디펜스,Hungarian Opening: Reversed Modern Defense,-0.3
rnbqkbnr/pppp1ppp/8/8/4p2N/6P1/PPPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. Nf3 e4 3. Nh4,헝가리안 오프닝: 리버스드 노르웨이 디펜스,Hungarian Opening: Reversed Norwegian Defense,-0.3
rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 c5,헝가리안 오프닝: 시실리안 인비테이션,Hungarian Opening: Sicilian Invitation,-0.2
rnbqkbnr/pp2pppp/2p5/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 c6,헝가리안 오프닝: 슬라브 포메이션,Hungarian Opening: Slav Formation,-0.2
rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 g6,헝가리안 오프닝: 시메트리컬 바리에이션,Hungarian Opening: Symmetrical Variation,-0.2
rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 h5,라스커 시뮬 스페셜,Lasker Simul Special,-0.5
rnbqkbnr/ppppppp1/8/7p/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,1. g3 h5 2. Nf3,라스커 시뮬 스페셜,Lasker Simul Special,0.5
rnbqkbnr/ppppppp1/8/8/7p/5NP1/PPPPPP1P/RNBQKB1R w KQkq -,1. g3 h5 2. Nf3 h4,헝가리안 오프닝: 반 쿠이크 갬빗,Hungarian Opening: Van Kuijk Gambit,-1.1
rnbqkbnr/ppp2ppp/8/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,1. g3 d5 2. Bg2 e5 3. c4,헝가리안 오프닝,Hungarian Opening,-0.2
rnbqkbnr/ppp2ppp/8/4p3/2p5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 e5 3. c4 dxc4,헝가리안 오프닝,Hungarian Opening,0.2
rnbqkbnr/ppp2ppp/8/4p3/2p5/1P4P1/P2PPPBP/RNBQK1NR b KQkq -,1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3,헝가리안 오프닝: 빈터베르크 갬빗,Hungarian Opening: Winterberg Gambit,-0.7
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -,1. d3,미제스 오프닝,Mieses Opening,0.0
rnbqkbnr/pppppp1p/6p1/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,1. d3 g6,미제스 오프닝,Mieses Opening,-0.2
rnbqkbnr/pppppp1p/6p1/8/6P1/3P4/PPP1PP1P/RNBQKBNR b KQkq -,1. d3 g6 2. g4,미제스 오프닝: 마이어스 스파이크 어택,Mieses Opening: Myers Spike Attack,-0.8
rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,1. d3 e5,미제스 오프닝: 리버스드 랫,Mieses Opening: Reversed Rat,-0.1
rnbqkbnr/pp1ppppp/8/2p5/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,1. d3 c5,미제스 오프닝,Mieses Opening,-0.2
rnbqkbnr/pp1ppppp/8/2p5/8/2NP4/PPP1PPPP/R1BQKBNR b KQkq -,1. d3 c5 2. Nc3,미제스 오프닝,Mieses Opening,-0.4
r1bqkbnr/pp1ppppp/2n5/2p5/8/2NP4/PPP1PPPP/R1BQKBNR w KQkq -,1. d3 c5 2. Nc3 Nc6,미제스 오프닝,Mieses Opening,0.0
r1bqkbnr/pp1ppppp/2n5/2p5/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq -,1. d3 c5 2. Nc3 Nc6 3. g3,미제스 오프닝: 베네수엘라 바리에이션,Mieses Opening: Venezolana Variation,-0.4
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -,1. b4,폴리시 오프닝,Polish Opening,-0.4
rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 d5,폴리시 오프닝,Polish Opening,0.1
rnbqkbnr/ppp1pppp/8/3p4/1P6/8/PBPPPPPP/RN1QKBNR b KQkq -,1. b4 d5 2. Bb2,폴리시 오프닝,Polish Opening,-0.2
rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 d5 2. Bb2 Bf5,폴리시 오프닝: 발틱 디펜스,Polish Opening: Baltic Defense,0.1
rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 c5,폴리시 오프닝: 버밍엄 갬빗,Polish Opening: Birmingham Gambit,-0.4
rnbqkbnr/pppp1ppp/8/4p3/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 e5,폴리시 오프닝,Polish Opening,0.2
rnbqkbnr/pppp1ppp/8/4p3/1P6/8/PBPPPPPP/RN1QKBNR b KQkq -,1. b4 e5 2. Bb2,폴리시 오프닝,Polish Opening,-0.2
rnbqkbnr/pppp2pp/5p2/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 e5 2. Bb2 f6,폴리시 오프닝,Polish Opening,0.0
rnbqkbnr/pppp2pp/5p2/1P2p3/8/8/PBPPPPPP/RN1QKBNR b KQkq -,1. b4 e5 2. Bb2 f6 3. b5,폴리시 오프닝: 부가예프 어드밴스 바리에이션,Polish Opening: Bugayev Advance Variation,-0.1
